class_label,feature,coefficient,abs_coefficient
3,relative_txn_count,0.3053053152678732,0.3053053152678732
1,relative_txn_count,-0.2780078988932272,0.2780078988932272
3,txn_count,0.21023067895120132,0.21023067895120132
1,txn_count,-0.19732746273224439,0.19732746273224439
3,rolling_mean_8w,-0.11503846845004681,0.11503846845004681
1,bucket_t_minus_1,-0.10918014842930411,0.10918014842930411
3,bucket_t_minus_1,0.09928233062658572,0.09928233062658572
1,rolling_mean_8w,0.09833968559974711,0.09833968559974711
1,recency_days,0.08110251841781214,0.08110251841781214
1,entropy,-0.07638412673300173,0.07638412673300173
3,recency_days,-0.07227192033854068,0.07227192033854068
3,category_diversity,-0.06679942158157638,0.06679942158157638
3,entropy,0.05622480500242095,0.05622480500242095
1,amount_t_minus_2,-0.055754884423798313,0.055754884423798313
1,rolling_std_8w,0.0552059670263255,0.0552059670263255
3,amount_t_minus_2,0.04640931488766799,0.04640931488766799
3,rolling_std_8w,-0.04323353216505763,0.04323353216505763
1,category_diversity,0.039575850807411626,0.039575850807411626
1,dominant_category_ratio,-0.029963342495191406,0.029963342495191406
1,user_cv,-0.028888837228562916,0.028888837228562916
2,relative_txn_count,-0.027297416374659923,0.027297416374659923
2,category_diversity,0.027223570774160936,0.027223570774160936
3,user_cv,0.02283967552712413,0.02283967552712413
2,entropy,0.020159321730580295,0.020159321730580295
3,amount_t_minus_1,0.019829522442418,0.019829522442418
3,z_score,0.016753085850308966,0.016753085850308966
2,rolling_mean_8w,0.01669878285029717,0.01669878285029717
2,dominant_category_ratio,0.015535671808080726,0.015535671808080726
3,dominant_category_ratio,0.01442767068711161,0.01442767068711161
2,txn_count,-0.01290321621896622,0.01290321621896622
2,rolling_std_8w,-0.011972434861272727,0.011972434861272727
1,z_score,-0.011762105237380471,0.011762105237380471
2,amount_t_minus_1,-0.011157527087322342,0.011157527087322342
2,bucket_t_minus_1,0.009897817802715704,0.009897817802715704
2,amount_t_minus_2,0.00934556953612563,0.00934556953612563
3,delta_amount,-0.009240976589487861,0.009240976589487861
2,recency_days,-0.008830598079264593,0.008830598079264593
1,amount_t_minus_1,-0.00867199535509464,0.00867199535509464
1,delta_amount,0.00757401576567105,0.00757401576567105
2,user_cv,0.006049161701438536,0.006049161701438536
2,delta_bucket,0.005699335256447983,0.005699335256447983
2,z_score,-0.004990980612928046,0.004990980612928046
1,delta_bucket,-0.004020052646755868,0.004020052646755868
3,delta_bucket,-0.0016792826096918886,0.0016792826096918886
2,delta_amount,0.0016669608238167651,0.0016669608238167651
