class_label,feature,coefficient,abs_coefficient
3,txn_count,0.5348469864476982,0.5348469864476982
3,relative_txn_count,0.41537069555065825,0.41537069555065825
1,relative_txn_count,-0.40481005567815814,0.40481005567815814
3,rolling_mean_8w,-0.34744089463233324,0.34744089463233324
1,txn_count,-0.3304834253781571,0.3304834253781571
3,entropy,0.2577969893111462,0.2577969893111462
2,category_diversity,0.22646940778893676,0.22646940778893676
1,category_diversity,0.22080746431566445,0.22080746431566445
2,delta_bucket,0.19002847171101703,0.19002847171101703
3,category_diversity,-0.17416234386513685,0.17416234386513685
1,rolling_mean_8w,0.168773537792809,0.168773537792809
1,amount_t_minus_2,-0.16307245183983038,0.16307245183983038
1,entropy,-0.14779080672961759,0.14779080672961759
1,rolling_std_8w,0.1295325384708997,0.1295325384708997
1,dominant_category_ratio,-0.11856890167106143,0.11856890167106143
2,txn_count,-0.10232126633742375,0.10232126633742375
3,bucket_t_minus_1,0.09943071080240884,0.09943071080240884
3,amount_t_minus_2,0.09656490980390267,0.09656490980390267
2,delta_amount,0.08565757944893576,0.08565757944893576
1,recency_days,0.07887747479948433,0.07887747479948433
2,recency_days,-0.07883694847428574,0.07883694847428574
2,z_score,-0.07693035167725351,0.07693035167725351
2,user_cv,-0.07489095743523036,0.07489095743523036
3,delta_bucket,0.07278264359054455,0.07278264359054455
3,amount_t_minus_1,0.07157255715274001,0.07157255715274001
2,rolling_mean_8w,0.06597044111484968,0.06597044111484968
2,amount_t_minus_1,0.06243729849004142,0.06243729849004142
3,rolling_std_8w,-0.057673118060687874,0.057673118060687874
2,amount_t_minus_2,-0.05503035362075876,0.05503035362075876
3,recency_days,-0.05432787148671364,0.05432787148671364
3,user_cv,-0.052581819509331676,0.052581819509331676
2,bucket_t_minus_1,0.04489813694231145,0.04489813694231145
2,rolling_std_8w,-0.044814313418077595,0.044814313418077595
2,entropy,-0.041617109373773116,0.041617109373773116
1,delta_bucket,-0.039139471639127635,0.039139471639127635
1,bucket_t_minus_1,-0.03798650825546352,0.03798650825546352
1,amount_t_minus_1,0.03299714259093624,0.03299714259093624
2,relative_txn_count,-0.017914676036013003,0.017914676036013003
3,delta_amount,-0.01565943598285262,0.01565943598285262
3,z_score,0.013754377263086067,0.013754377263086067
1,z_score,-0.010637365261911733,0.010637365261911733
1,delta_amount,-0.008714967970697587,0.008714967970697587
2,dominant_category_ratio,0.008605402259280923,0.008605402259280923
3,dominant_category_ratio,-0.003267585203545409,0.003267585203545409
1,user_cv,-0.0012742516124376784,0.0012742516124376784
