feature,importance
relative_txn_count,0.24088814692554056
z_score,0.11660961475046815
rolling_std_8w,0.08427976544996314
rolling_mean_8w,0.07298224375208
txn_count,0.07258462560003492
amount_t_minus_1,0.06921890003812652
amount_t_minus_2,0.06447348626326314
user_cv,0.0596364945337694
delta_amount,0.05426209967143377
dominant_category_ratio,0.04535033466076908
category_diversity,0.041452777691966966
entropy,0.02964341528041431
bucket_t_minus_1,0.028457779312557257
delta_bucket,0.012202992453736261
recency_days,0.00795732361587668
